### SECTION 1: PRACTICES (1472 rows)
id,nbu_code,name,section,category,parent_id,active
491,662350,ÁCIDO TIOGLICÓLICO,Prácticas Especiales,,,true
492,662358,ÁCIDO TRICLOROACÉTICO,Prácticas Especiales,,,true
493,662367,ÁCIDOS BILIARES séricos,Prácticas Especiales,,,true
494,662375,ÁCIDOS GRASOS DE CADENA MUY LARGA,Prácticas Especiales,,,true
495,662379,ÁCIDOS GRASOS NO ESTERIFICADOS (NEFA),Prácticas Especiales,,,true
496,662393,ÁCIDOS ORGÁNICOS urinarios,Prácticas Especiales,,,true
497,662401,ACIL CARNITINAS plasmáticos,Prácticas Especiales,,,true
9,660006,ACTH HORMONA ADRENOCORTICOTROFINA,Prácticas Generales,,,true
498,662405,ACTINA AC (AAC) IFI,Prácticas Especiales,,,true
5,660001,ACTO BIOQUÍMICO,Prácticas Generales,,,true
444,662002,ACTO BIOQUÍMICO ADMINISTRATIVO POR VALIDACIÓN,Gestión Administrativa,,,true
445,662003,ACTO BIOQUÍMICO ADMINISTRATIVO POR VALIDACIÓN PROCESO de AUDITORÍA AUTORIZACIÓN DE LA ORDEN,Gestión Administrativa,,,true
402,661001,ACTO BIOQUÍMICO DE INTERNACION (ABI),Prácticas Generales,,,true
499,662410,ACUAPORINA 4 Neuromielitis Optica–Ac. IgG (NMO- Ac. IgG),Prácticas Especiales,,,true
10,660007,"ADDIS, RECUENTO DE",Prácticas Generales,,,true
500,662417,ADENOSIN DEAMINASA LCR,Prácticas Especiales,,,true
501,662418,ADENOSIN DEAMINASA líquido pleural,Prácticas Especiales,,,true
506,662448,ADENOVIRUS Carga viral,Prácticas Especiales,,,true
505,662446,ADENOVIRUS PCR,Prácticas Especiales,,,true
502,662427,"ADENOVIRUS, Ac. IgG o Totales, Anti",Prácticas Especiales,,,true
503,662435,"ADENOVIRUS, Ac. IgM, Anti",Prácticas Especiales,,,true
504,662444,"ADENOVIRUS, Ag",Prácticas Especiales,,,true
507,662452,"ADRENAL, Ac. Totales Anti",Prácticas Especiales,,,true
11,660009,"ADRENALINA, plasmática (CATECOLAMINA plasmática)",Prácticas Generales,,,true
12,660010,"ADRENALINA, urinaria (CATECOLAMINA urinaria)",Prácticas Generales,,,true
13,660014,AGLUTININAS del SISTEMAS ABO,Prácticas Generales,,,true
14,660015,ALBUMINA sérica,Prácticas Generales,,,true
15,660016,"ALCOHOL DEHIDROGENASA, ADH",Prácticas Generales,,,true
16,660017,ALCOHOL ETÍLICO sangre (ALCOHOLEMIA),Prácticas Generales,,,true
17,660018,ALDOLASA (Ald),Prácticas Generales,,,true
18,660019,ALDOSTERONA,Prácticas Generales,,,true
